n_groups,k,phi,genuine_cpcv,n_splits,n_obs,min_group_size,min_train_size,phase_a_pass,phase_a_fail_reason,phase_b_attempted,phase_b_error,mean_path_sharpe,std_path_sharpe,min_path_sharpe,max_path_sharpe,n_paths_negative,winning_C,notes
4,1,1,False,4,317,79,154,True,,True,,0.2825970576988014,0.0,0.2825970576988014,0.2825970576988014,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
4,2,3,True,6,317,79,10,False,single-class train fold,False,,,,,,,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
4,3,3,True,4,317,79,10,False,single-class train fold,False,,,,,,,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
5,1,1,False,5,317,63,175,True,,True,,0.5073331919564962,0.0,0.5073331919564962,0.5073331919564962,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
5,2,4,True,10,317,63,63,True,,True,,0.20156071799840888,0.3361445729517646,-0.2567406793259425,0.5463173783477482,1.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
5,3,6,True,10,317,63,10,False,single-class train fold,False,,,,,,,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
6,1,1,False,6,317,52,173,True,,True,,0.39301232300594524,0.0,0.39301232300594524,0.39301232300594524,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
6,2,5,True,15,317,52,70,True,,True,,0.17700730721120028,0.29397567035599825,-0.10956840635495535,0.6026846536997212,2.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
6,3,10,True,20,317,52,4,False,single-class train fold,False,,,,,,,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
8,1,1,False,8,317,39,182,True,,True,,0.4295654116257729,0.0,0.4295654116257729,0.4295654116257729,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
8,2,7,True,28,317,39,85,True,,True,,0.22133889179657484,0.2391411269889675,-0.19735304454519811,0.582624987141086,1.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
8,3,21,True,56,317,39,11,False,min_train_size 11 < 30,False,,,,,,,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
10,1,1,False,10,317,31,190,True,,True,,0.46971264828976045,0.0,0.46971264828976045,0.46971264828976045,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
10,2,9,True,45,317,31,85,True,,True,,0.24372036427273425,0.1929354286898487,0.011884079273163272,0.583381793972062,0.0,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
10,3,36,True,120,317,31,29,False,min_train_size 29 < 30,False,,,,,,,10.0,"dropped=['entropy_rate', 'structural_break_stat']"
