n_groups,k,phi,genuine_cpcv,n_splits,n_obs,min_group_size,min_train_size,phase_a_pass,phase_a_fail_reason,phase_b_attempted,phase_b_error,mean_path_sharpe,std_path_sharpe,min_path_sharpe,max_path_sharpe,n_paths_negative,winning_C,notes
4,1,1,False,4,562,140,334,True,,True,,0.3875348477872122,0.0,0.3875348477872122,0.3875348477872122,0,10.0,
4,2,3,True,6,562,140,119,True,,True,,0.3609789954833133,0.026458527704101436,0.33627641648701273,0.38889918447588356,0,10.0,
4,3,3,True,4,562,140,55,True,,True,,0.25283589399564366,0.0702230936027206,0.17981590509320783,0.31988019359128184,0,10.0,
5,1,1,False,5,562,112,346,True,,True,,0.35552430408150276,0.0,0.35552430408150276,0.35552430408150276,0,10.0,
5,2,4,True,10,562,112,145,True,,True,,0.28168981012632555,0.0919020131372512,0.14638580894366834,0.34980418303201566,0,10.0,
5,3,6,True,10,562,112,37,True,,True,,0.1697612031751005,0.1626950944243932,-0.057342044127157724,0.3005349924868022,2,10.0,
6,1,1,False,6,562,93,383,True,,True,,0.3263272766421734,0.0,0.3263272766421734,0.3263272766421734,0,10.0,
6,2,5,True,15,562,93,206,True,,True,,0.2917227916071875,0.023703309352168977,0.2640534309592765,0.32597862656636456,0,10.0,
6,3,10,True,20,562,93,45,True,,True,,0.23253103777659917,0.09475702840794899,0.015784651524911722,0.35476018141895993,0,10.0,
8,1,1,False,8,562,70,381,True,,True,,0.3549612115278383,0.0,0.3549612115278383,0.3549612115278383,0,10.0,
8,2,7,True,28,562,70,219,True,,True,,0.3305014369165346,0.06382694857110459,0.24522470804827107,0.4229900959352284,0,10.0,
8,3,21,True,56,562,70,85,True,,True,,0.3124356054551582,0.08368988331707813,0.17463819212914436,0.4702322936155428,0,10.0,
10,1,1,False,10,562,56,400,True,,True,,0.40086531644038126,0.0,0.40086531644038126,0.40086531644038126,0,10.0,
10,2,9,True,45,562,56,243,True,,True,,0.3646034833409968,0.05119383079765087,0.2785706275557137,0.4314169550443808,0,10.0,
10,3,36,True,120,562,56,109,True,,True,,0.31610731730427716,0.09083653701632216,-0.01954304407005932,0.4453924167694957,1,10.0,
