,fracdiff,bin,w,t1
2026-03-02 13:05:06.160435,5.963680779996179,-1.0,2.274895396366695,2026-03-02 13:50:21.805687
2026-03-02 15:30:49.837102,6.003580277019739,1.0,7.344948507626628,2026-03-02 16:46:56.199924
2026-03-02 16:46:56.199924,6.017582057742274,-1.0,0.3413581550557502,2026-03-02 19:00:58.984721
2026-03-02 19:00:58.984721,5.993667913968155,-1.0,2.939427841755935,2026-03-03 09:28:01.084240
2026-03-03 03:09:58.655387,5.985433750719224,-1.0,2.2121353658389897,2026-03-03 09:28:01.084240
2026-03-03 09:28:01.084240,5.9601786788361615,1.0,0.15336385077817904,2026-03-04 00:23:40.276445
2026-03-03 12:03:45.814108,5.973132665041119,1.0,1.9535668307043579,2026-03-04 07:58:28.661895
2026-03-03 16:46:20.069821,5.985859445010975,1.0,1.9635764802641043,2026-03-04 08:47:31.026488
2026-03-04 03:59:00.869320,5.977720207058745,1.0,0.40519718635278124,2026-03-04 07:58:28.661895
2026-03-04 06:47:26.102190,5.993907654731748,1.0,1.5283243468615364,2026-03-04 08:47:31.026488
2026-03-04 07:58:28.661895,6.002588866164273,1.0,1.7111359613910595,2026-03-04 09:31:07.014032
2026-03-04 08:47:31.026488,6.0134842730553855,1.0,2.160904929663142,2026-03-04 15:38:00.441318
2026-03-04 08:57:34.588789,6.0166874639478305,1.0,1.590942145312576,2026-03-04 15:38:00.441318
2026-03-04 14:43:59.665060,6.014594882872264,1.0,1.904618913627202,2026-03-04 19:13:16.562467
2026-03-04 15:38:00.441318,6.028239458093246,-1.0,0.2390441689297033,2026-03-06 05:35:08.673698
2026-03-04 19:13:16.562467,6.037172370310277,-1.0,0.7110149866275172,2026-03-05 16:06:08.646538
2026-03-04 21:03:09.246941,6.015662701122114,-1.0,1.744814584170708,2026-03-06 12:27:20.710292
2026-03-04 23:36:03.986558,6.0110019547032625,-1.0,1.760908473311291,2026-03-06 15:18:23.399332
2026-03-05 07:52:38.215621,6.008383772876446,-1.0,1.2351265254095365,2026-03-06 15:18:23.399332
2026-03-05 11:57:21.562237,6.023724049593154,-1.0,0.47798599287660803,2026-03-06 12:27:20.710292
2026-03-05 16:06:08.646538,6.000661752093877,-1.0,1.431383190026685,2026-03-06 17:36:58.705490
2026-03-06 05:35:08.673698,5.993066484416946,-1.0,1.4731953358872216,2026-03-08 02:43:03.783630
2026-03-06 08:17:20.338786,6.005681591687278,-1.0,0.915046707479796,2026-03-06 17:36:58.705490
2026-03-06 12:27:20.710292,5.993256306307138,-1.0,1.390734158704356,2026-03-08 13:21:25.223204
2026-03-06 15:18:23.399332,5.977513524076601,-1.0,0.81761640134748,2026-03-09 17:47:37.912838
2026-03-06 17:36:58.705490,5.971618750527432,1.0,0.42916403178606316,2026-03-09 17:47:37.912838
2026-03-08 02:43:03.783630,5.972809159995866,1.0,0.6547701017228692,2026-03-10 09:29:22.459668
2026-03-08 10:25:02.381548,5.9866143332723025,1.0,0.8911647452331579,2026-03-10 15:34:00.214527
2026-03-08 13:21:25.223204,5.97022221706243,1.0,0.448963265131163,2026-03-10 09:29:22.459668
2026-03-08 22:04:55.625107,5.9558974186706255,1.0,0.48268596631910266,2026-03-09 15:12:31.375106
2026-03-09 01:34:27.301341,5.971603682138415,1.0,1.3719746204126846,2026-03-10 09:29:22.459668
2026-03-09 03:14:39.598337,5.981271974391438,1.0,1.0969533090020664,2026-03-10 09:29:22.459668
2026-03-09 05:54:55.425247,5.986920780536216,1.0,0.8880274995537062,2026-03-10 09:29:22.459668
2026-03-09 12:42:20.317884,5.991402921984136,1.0,0.8399742205879036,2026-03-10 15:34:00.214527
2026-03-09 15:12:31.375106,6.0009345731222705,1.0,0.170743304627337,2026-03-12 17:35:35.529206
2026-03-09 17:47:37.912838,5.98740579719815,1.0,0.5227474650453124,2026-03-10 15:34:00.214527
2026-03-10 02:21:04.934707,5.998734385964138,1.0,0.1725613337832337,2026-03-13 03:31:18.388580
2026-03-10 09:29:22.459668,6.021705553759456,1.0,0.2752119939694613,2026-03-13 11:12:08.427762
2026-03-10 13:50:47.049998,6.000810349132767,1.0,0.190669794100744,2026-03-13 14:38:59.519788
2026-03-10 15:34:00.214527,6.021897476255093,1.0,0.044685705976276434,2026-03-13 16:58:51.812463
2026-03-10 18:25:31.056906,6.000212035317967,1.0,0.1369068065414158,2026-03-13 14:38:59.519788
2026-03-10 21:41:54.018292,5.991987808583177,1.0,0.5922304047085596,2026-03-13 14:38:59.519788
2026-03-11 12:37:11.759866,5.9901380213529825,1.0,0.6322655449329578,2026-03-13 11:12:08.427762
2026-03-11 14:42:56.931610,6.012079742292618,1.0,0.07135845791254185,2026-03-15 00:17:46.060800
2026-03-12 01:34:45.564240,5.992847062735757,1.0,0.5738717488173293,2026-03-13 14:38:59.519788
2026-03-12 10:42:18.019242,6.003638495883459,1.0,0.7750126884756551,2026-03-13 14:38:59.519788
2026-03-13 00:18:23.267236,6.016214036193109,1.0,0.8983603821273272,2026-03-16 04:17:38.069420
2026-03-13 11:12:08.427762,6.024373464228809,1.0,0.5024700737463578,2026-03-16 14:36:41.017322
2026-03-13 14:38:59.519788,6.036784636201603,-1.0,0.7174338770022247,2026-03-14 01:54:29.096037
2026-03-13 16:58:51.812463,6.011220949239991,1.0,0.5414801567975014,2026-03-16 21:38:02.559650
2026-03-13 22:01:11.168591,6.001709902318856,1.0,0.7524043627668423,2026-03-16 04:17:38.069420
2026-03-15 13:12:04.419606,6.010158021490956,1.0,0.9223057182510422,2026-03-16 04:17:38.069420
2026-03-15 23:00:01.510862,6.027675477248485,1.0,1.3160993339444573,2026-03-17 00:57:57.998387
2026-03-16 04:17:38.069420,6.036229541990513,-1.0,0.6208514167163909,2026-03-18 15:31:44.091082
2026-03-16 08:17:22.585483,6.025836626381519,1.0,0.8547099305595952,2026-03-17 01:27:12.705881
2026-03-16 21:38:02.559650,6.0406149161510205,-1.0,0.3851216578010252,2026-03-18 14:32:44.186212
2026-03-17 00:57:57.998387,6.040274480040603,-1.0,0.6841039705053987,2026-03-18 12:08:15.093003
2026-03-17 01:27:12.705881,6.0491656204702675,-1.0,0.7415713350811785,2026-03-18 12:08:15.093003
2026-03-17 02:08:06.619228,6.037299022628564,-1.0,0.8582814124163525,2026-03-18 12:08:15.093003
