true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,regime
0.0,48.63,0.4789,0.0487,0.499516221446701,gaussian
0.0,122.55,0.4694,0.05015,0.49622279035919126,gaussian
0.0,146.14,0.46655,0.0489,0.4951406801627633,gaussian
0.0,346.92,0.46355,0.0496,0.49424728691757874,gaussian
0.0,355.54,0.46065,0.0488,0.4937718267074699,gaussian
0.05,48.63,0.4952,0.0919,0.506100916539052,gaussian
0.05,122.55,0.4989,0.12875,0.5080281790184586,gaussian
0.05,146.14,0.5008,0.13905,0.5084025247149865,gaussian
0.05,346.92,0.5237,0.209,0.5190496774690588,gaussian
0.05,355.54,0.5229,0.2119,0.5184447084425535,gaussian
0.1,48.63,0.51775,0.1536,0.5152061764501059,gaussian
0.1,122.55,0.5495,0.2569,0.5299517815697373,gaussian
0.1,146.14,0.5639,0.29135,0.5352511663875369,gaussian
0.1,346.92,0.67005,0.50795,0.589616363228704,gaussian
0.1,355.54,0.67205,0.5166,0.5920402265254041,gaussian
0.15,48.63,0.5504,0.2384,0.529149630140194,gaussian
0.15,122.55,0.63525,0.4378,0.5711361865710783,gaussian
0.15,146.14,0.66375,0.4928,0.5865556502930298,gaussian
0.15,346.92,0.8544,0.7984,0.7174465147380482,gaussian
0.15,355.54,0.8632,0.81,0.7233209576057263,gaussian
0.2,48.63,0.59765,0.34475,0.5505262240047929,gaussian
0.2,122.55,0.744,0.62665,0.6343643664709431,gaussian
0.2,146.14,0.7839,0.69215,0.6631111262892927,gaussian
0.2,346.92,0.96615,0.9492,0.850728734333327,gaussian
0.2,355.54,0.9687,0.9514,0.8567284981979197,gaussian
0.3,48.63,0.7196,0.5821,0.6184215592304141,gaussian
0.3,122.55,0.92935,0.9009,0.7944309971049819,gaussian
0.3,146.14,0.95665,0.9377,0.8364081225083025,gaussian
0.3,346.92,0.9997,0.9991,0.9803947955690817,gaussian
0.3,355.54,0.9999,0.99945,0.982130647768723,gaussian
0.0,48.63,0.43695,0.0494,0.486297448253934,fat_tailed
0.0,122.55,0.44855,0.05165,0.4914587316420552,fat_tailed
0.0,146.14,0.4543,0.0501,0.49334306222295726,fat_tailed
0.0,346.92,0.4599,0.0464,0.494167596759781,fat_tailed
0.0,355.54,0.4503,0.04915,0.491465056413038,fat_tailed
0.05,48.63,0.4583,0.0968,0.4951108561705182,fat_tailed
0.05,122.55,0.4797,0.13205,0.5053845033919259,fat_tailed
0.05,146.14,0.49015,0.141,0.5079344819767624,fat_tailed
0.05,346.92,0.5205,0.20915,0.5193085647120729,fat_tailed
0.05,355.54,0.5137,0.2164,0.5181337109197289,fat_tailed
0.1,48.63,0.48825,0.17125,0.5081824717806441,fat_tailed
0.1,122.55,0.53775,0.2696,0.5305344720179093,fat_tailed
0.1,146.14,0.5575,0.29895,0.5380433054933726,fat_tailed
0.1,346.92,0.66685,0.5099,0.5915279614569016,fat_tailed
0.1,355.54,0.6677,0.5189,0.5935396477651033,fat_tailed
0.15,48.63,0.5312,0.27085,0.529444660753494,fat_tailed
0.15,122.55,0.6284,0.4574,0.5769744196645191,fat_tailed
0.15,146.14,0.6622,0.50415,0.5928588077637396,fat_tailed
0.15,346.92,0.85015,0.79685,0.7174036771860256,fat_tailed
0.15,355.54,0.85435,0.80595,0.7220638670178127,fat_tailed
0.2,48.63,0.5907,0.3845,0.5601201698374716,fat_tailed
0.2,122.55,0.7479,0.64795,0.6437284450971718,fat_tailed
0.2,146.14,0.7836,0.70305,0.6691745101613328,fat_tailed
0.2,346.92,0.9615,0.94635,0.8446508418052247,fat_tailed
0.2,355.54,0.96385,0.9494,0.8496361661447616,fat_tailed
0.3,48.63,0.7216,0.61925,0.6441918742249992,fat_tailed
0.3,122.55,0.9244,0.8982,0.7924855579770799,fat_tailed
0.3,146.14,0.94935,0.93495,0.8283716930632088,fat_tailed
0.3,346.92,0.99945,0.99905,0.9719917999124617,fat_tailed
0.3,355.54,0.9995,0.99925,0.9741398935737626,fat_tailed
