true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,regime
0.0,57.72,0.477,0.05065,0.4988555748624236,gaussian
0.0,197.3,0.46175,0.0496,0.494483121721443,gaussian
0.0,300.01,0.468,0.0517,0.4959574799419418,gaussian
0.0,419.58,0.46515,0.05055,0.49473656518539966,gaussian
0.0,618.83,0.46975,0.04625,0.4948296309927148,gaussian
0.05,57.72,0.4947,0.0997,0.5064396315553119,gaussian
0.05,197.3,0.50475,0.15405,0.5103345807640112,gaussian
0.05,300.01,0.52285,0.1922,0.5180692844400941,gaussian
0.05,419.58,0.53645,0.23505,0.524137388504572,gaussian
0.05,618.83,0.56935,0.29945,0.5363062648811056,gaussian
0.1,57.72,0.5237,0.1725,0.517515776659829,gaussian
0.1,197.3,0.5821,0.34735,0.5463681167800555,gaussian
0.1,300.01,0.6441,0.45945,0.5774840004657786,gaussian
0.1,419.58,0.7087,0.57005,0.6125602945455823,gaussian
0.1,618.83,0.80305,0.71335,0.673419576402944,gaussian
0.15,57.72,0.56335,0.26915,0.5348386624084774,gaussian
0.15,197.3,0.71915,0.59025,0.6183960265822163,gaussian
0.15,300.01,0.8209,0.74435,0.6885851448810647,gaussian
0.15,419.58,0.90015,0.85755,0.7606750562762868,gaussian
0.15,618.83,0.9667,0.9479,0.852479601015422,gaussian
0.2,57.72,0.61635,0.38595,0.5612505899984309,gaussian
0.2,197.3,0.8554,0.80255,0.7190659871680947,gaussian
0.2,300.01,0.94445,0.9207,0.8167754037692441,gaussian
0.2,419.58,0.98315,0.97435,0.8929093920235431,gaussian
0.2,618.83,0.9979,0.99505,0.9581537297579711,gaussian
0.3,57.72,0.76135,0.64235,0.6434621202952857,gaussian
0.3,197.3,0.9871,0.9786,0.9019901887585491,gaussian
0.3,300.01,0.9987,0.9975,0.9672267539353474,gaussian
0.3,419.58,1.0,0.9999,0.9911464746190064,gaussian
0.3,618.83,1.0,1.0,0.9989911197189209,gaussian
0.0,57.72,0.34205,0.05085,0.44084173567024426,fat_tailed
0.0,197.3,0.41035,0.05155,0.47197147603468836,fat_tailed
0.0,300.01,0.4136,0.05085,0.47514370367723296,fat_tailed
0.0,419.58,0.4302,0.0478,0.48081563327588245,fat_tailed
0.0,618.83,0.43065,0.0536,0.48170108046441656,fat_tailed
0.05,57.72,0.3639,0.10515,0.4506100495569805,fat_tailed
0.05,197.3,0.4515,0.16245,0.49015163669374706,fat_tailed
0.05,300.01,0.4736,0.20365,0.5001023378885511,fat_tailed
0.05,419.58,0.5057,0.24295,0.5122490482425165,fat_tailed
0.05,618.83,0.53775,0.30855,0.5268253656914441,fat_tailed
0.1,57.72,0.3956,0.189,0.4656030651770587,fat_tailed
0.1,197.3,0.5446,0.3682,0.5328829260234403,fat_tailed
0.1,300.01,0.6078,0.4766,0.5668185500820455,fat_tailed
0.1,419.58,0.68985,0.5909,0.6089978166728842,fat_tailed
0.1,618.83,0.78965,0.73435,0.6725667962608972,fat_tailed
0.15,57.72,0.4501,0.30505,0.49132262601156407,fat_tailed
0.15,197.3,0.69555,0.6164,0.6152017501031491,fat_tailed
0.15,300.01,0.8006,0.76915,0.6879648651128563,fat_tailed
0.15,419.58,0.8937,0.8713,0.7651046082688788,fat_tailed
0.15,618.83,0.96345,0.9583,0.857353159427745,fat_tailed
0.2,57.72,0.5286,0.4473,0.5317080833359131,fat_tailed
0.2,197.3,0.8436,0.82615,0.7233722489411542,fat_tailed
0.2,300.01,0.9382,0.9325,0.8199403615215677,fat_tailed
0.2,419.58,0.9824,0.97885,0.896548754977611,fat_tailed
0.2,618.83,0.99845,0.99775,0.9606564477181558,fat_tailed
0.3,57.72,0.72055,0.71425,0.6475154803479021,fat_tailed
0.3,197.3,0.9859,0.98295,0.9029318190768432,fat_tailed
0.3,300.01,0.999,0.9988,0.9654012656026653,fat_tailed
0.3,419.58,0.99995,0.9999,0.9901123620418919,fat_tailed
0.3,618.83,1.0,1.0,0.9987995028782795,fat_tailed
