edge_strength,seed,n_raw_trades_used,n_scaffold_bars,n_bars,n_events,n_events_enriched,fracdiff_d,raw_signal_corr,T_raw,tw_mean,T_effective,sr_hat,dsr,pbo,skew,kurtosis,n_trials,wall_clock_sec,error
0.0,0,359913,2975,2974,766,766,0.30000000000000004,-0.02034920428866648,1247,0.16054718882390095,200.2023444634045,-0.010494815744413634,0.36652629933614456,0.16666666666666666,0.19157333907284205,3.0263195200001514,20,54.89052891731262,
0.0,1,359983,2974,2974,736,736,0.4,-0.0011596672849439119,1040,0.1628778502916141,169.3929643032787,0.03747698249009742,0.5644758736085848,0.24891774891774893,-0.08549289102543578,3.3630962368452226,20,58.32949161529541,
0.0,2,359979,2975,2975,760,760,0.1,-0.012004381813282195,2273,0.17629198808497176,400.7116889171408,0.02635615234191509,0.5818231526754335,0.37554112554112556,0.10806126184208772,5.205703952967406,20,51.31195330619812,
0.0,3,359928,2974,2974,754,754,0.30000000000000004,0.01718300470037259,2421,0.1937485341068149,469.0652010725988,0.013440292536433885,0.5187387969199607,0.4772727272727273,0.2775674501551385,9.00682893123161,20,52.05946707725525,
0.0,4,359945,2975,2975,759,759,0.30000000000000004,0.03208079767046893,1173,0.16419808924103907,192.60435867973882,-0.01154932559039136,0.3351507092336815,0.5768398268398268,0.04834782110680735,3.170259731845451,20,51.26640772819519,
0.02,0,359913,2975,2974,779,779,0.30000000000000004,-0.02219285704681611,1515,0.1621999242629936,245.7328852584353,-0.004810800757861533,0.3893093860227513,0.08333333333333333,0.08330149773874762,4.648073691210605,20,50.29292821884155,
0.02,1,359983,2974,2975,759,759,0.4,0.0009479377383246612,2775,0.1567929219722033,435.1003584728641,0.03731829862064534,0.7022759231620129,0.36688311688311687,0.23173364712791802,14.578431411233453,20,49.758240938186646,
0.02,2,359979,2975,2975,763,763,0.1,6.236224550486748e-05,1719,0.17376985767836367,298.7103853491071,0.02426277239075755,0.564573185976579,0.15584415584415584,-0.020332038962673396,3.2704571153706934,20,49.75957369804382,
0.02,3,359928,2974,2975,772,772,0.30000000000000004,0.031895771586572585,2281,0.1958757346590782,446.7925507573574,0.0247837706306207,0.6332312587597484,0.6515151515151515,0.4702578801801198,9.017524204128325,20,52.54169964790344,
0.02,4,359945,2975,2975,767,767,0.30000000000000004,0.038123546128300635,2707,0.15989738607542314,432.8422241061704,0.007031163697497058,0.4873822743489633,0.7326839826839827,-0.06632383628857667,10.330290936124651,20,51.645541191101074,
0.05,0,359913,2975,2975,799,799,0.30000000000000004,-0.008200809665831721,1999,0.15850187964256593,316.8452574054893,-0.00656051545488724,0.4065353811802497,0.5313852813852814,0.17817979328058248,3.1480041646202914,20,50.4329891204834,
0.05,1,359983,2974,2974,743,743,0.4,0.017456163756530967,527,0.16127826828917544,84.99364738839546,0.028549723575916845,0.5668990412274494,0.8138528138528138,0.02011140729424251,3.2684928947982366,20,48.95298790931702,
0.05,2,359979,2975,2975,764,764,0.1,0.015300454556532011,2026,0.17681105124703575,358.2191898264944,0.02114955925346489,0.5504833617710841,0.3582251082251082,0.1681789192339212,5.201867781269128,20,48.9478657245636,
0.05,3,359928,2974,2974,761,761,0.30000000000000004,0.04733647799227494,1656,0.19439092245824724,321.9113675908574,0.0036869271092713997,0.47901090380341915,0.7911255411255411,-0.3116423812219284,5.564978007777774,20,50.245872497558594,
0.05,4,359945,2975,2975,758,758,0.30000000000000004,0.05051216375793563,1081,0.16254825286401683,175.7146613460022,0.0009601920908805407,0.4847184552431914,0.6244588744588745,-0.11390504626266168,4.956006127331409,20,51.6162793636322,
0.1,0,359913,2975,2975,808,808,0.30000000000000004,0.03015427000833043,2380,0.1544195827114499,367.51860685325073,0.006477191968392594,0.4585807315431587,0.12554112554112554,0.25687057857703044,4.25140533358001,20,43.01479148864746,
0.1,1,359983,2974,2975,749,749,0.30000000000000004,0.05521925414164589,615,0.15817417885210264,97.27711999404312,0.03042939844452409,0.585571052667124,0.7532467532467533,0.14753242319216692,3.4522354134431823,20,39.9174702167511,
0.1,2,359979,2975,2974,769,769,0.1,0.05329505935799044,733,0.17226953076097917,126.27356604779773,0.028762051746581366,0.5494881261254024,0.5043290043290043,-0.02074239537286917,3.2837302062202185,20,39.68522834777832,
0.1,3,359928,2974,2975,772,772,0.30000000000000004,0.06965342232131924,1290,0.1973191104198396,254.54165244159307,0.025625569326795692,0.5657913612548704,0.31601731601731603,0.22278687879465398,5.215519035061359,20,39.94313931465149,
0.1,4,359945,2975,2975,751,751,0.30000000000000004,0.068473756387631,969,0.16224655189500772,157.21690878626248,0.014749494773249154,0.5104422498861568,0.16125541125541126,0.13921729249958964,4.623645590908165,20,39.90542912483215,
0.15,0,359913,2975,2975,791,791,0.30000000000000004,0.06726694739803896,2251,0.1623592271057667,365.4706202150808,-0.020056569712615543,0.28995971429698064,0.6948051948051948,0.11290592788278783,4.248891178225998,20,39.62918567657471,
0.15,1,359983,2974,2975,731,731,0.30000000000000004,0.08875463733062183,1242,0.160727109877818,199.62307046824995,0.002576368631378665,0.4654674759162687,0.8982683982683982,-0.20007220239451148,3.8286507773742677,20,37.024625062942505,
0.15,2,359979,2975,2974,759,759,0.1,0.08752439612570369,817,0.17372546040085712,141.93370114750027,0.023150114095310155,0.5158922723627137,0.4458874458874459,-0.16483744861225655,3.117998436361423,20,39.044546365737915,
0.15,3,359928,2974,2975,779,779,0.30000000000000004,0.10161990793134693,2316,0.1912422922778034,442.91714891539266,0.03746516306023809,0.6710926846345614,0.2067099567099567,0.6250950084967104,15.019605675868442,20,39.566580295562744,
0.15,4,359945,2975,2975,765,765,0.2,0.0973725815117071,1392,0.1583413524710683,220.41116263972705,0.01581849817050639,0.5388755626319223,0.3841991341991342,-0.0312120115020437,3.840851787332129,20,37.465282678604126,
0.2,0,359913,2975,2975,784,783,0.30000000000000004,0.09385526531935774,2629,0.16835069431453625,442.59397535291583,-0.011861170509516778,0.3324019872062722,0.5097402597402597,0.19891916747208466,4.694867709050763,20,42.211520195007324,
0.2,1,359983,2974,2974,765,765,0.30000000000000004,0.1196620897552108,896,0.1557686654781826,139.5687242684516,0.01141933798152346,0.5068742809356056,0.7294372294372294,0.3160912677804318,4.470562263644991,20,37.74758720397949,
0.2,2,359979,2975,2975,766,766,0.1,0.12272755166877339,1991,0.1755275004823128,349.4752534602848,0.027497554337352997,0.5096716853826434,0.5194805194805194,0.09454448132968961,5.133874315276939,20,38.193443298339844,
0.2,3,359928,2974,2975,785,785,0.30000000000000004,0.12964499664287996,2202,0.18495248111854398,407.2653634230339,0.026410182451958607,0.5790120448599712,0.8062770562770563,0.2355145344973533,5.9498932182009945,20,38.58365988731384,
0.2,4,359945,2975,2974,771,771,0.2,0.12695953878031108,1313,0.16070843739640656,211.0101783014818,0.00697077493955316,0.44648718273578103,0.45454545454545453,-0.16086286070666078,4.559130063339813,20,38.25751328468323,
0.3,0,359913,2975,2974,799,797,0.30000000000000004,0.1525095199554557,1286,0.1602674960071164,206.10399986515168,-0.017951083935494105,0.29122400007916927,0.023809523809523808,0.004970917362300521,3.2069063145867824,20,44.897666931152344,
0.3,1,359983,2974,2975,768,766,0.30000000000000004,0.17562397544173416,1095,0.15286492344228897,167.38709116930642,0.00514869964145797,0.4732742902266113,0.3874458874458874,0.01073633624174377,3.1218011428698356,20,41.731406688690186,
0.3,2,359979,2975,2975,783,781,0.2,0.1788660037096349,662,0.17032855110826373,112.75750083367059,0.012709998213638525,0.45021832943993095,0.19155844155844157,0.020913338111322583,2.945595965854233,20,41.62284827232361,
0.3,3,359928,2974,2974,796,796,0.30000000000000004,0.1848208628821527,2837,0.18300464171596417,519.1841685481903,0.009994701636838207,0.43590464368366577,0.4621212121212121,0.2500663905536513,6.850831253110257,20,42.80158829689026,
0.3,4,359945,2975,2974,801,800,0.2,0.1894950006167886,1718,0.14884656066819202,255.7183912279539,0.03235170706090985,0.6228520841287091,0.7402597402597403,0.3822957496535215,4.808194172436672,20,43.26574420928955,
0.5,0,359913,2975,2975,853,842,0.30000000000000004,0.24328345265129517,1548,0.1539614235603153,238.3322836713681,-0.014845484822498155,0.3554625123905485,0.42207792207792205,0.011768826275344216,3.08026339397133,20,44.92214560508728,
0.5,1,359983,2974,2974,822,822,0.1,0.26666374921192626,1845,0.14272632889672307,263.33007681445406,0.01720298566127706,0.5224844056146565,0.36904761904761907,-0.010523798034668819,5.857054560139113,20,42.90693402290344,
0.5,2,359979,2975,2975,819,812,0.2,0.2760176879455732,2858,0.1612525520926842,460.8597938808914,0.028079288369709837,0.6372169389809226,0.577922077922078,0.6810322018799271,8.674713434576335,20,45.32337045669556,
0.5,3,359928,2974,2974,853,847,0.30000000000000004,0.27937031387156414,1422,0.17204338575624176,244.6456945453758,-0.00038290413846132513,0.43032264739244525,0.6201298701298701,0.13590494222755775,3.821301597678549,20,48.5291907787323,
0.5,4,359945,2975,2975,840,831,0.1,0.2843063566025275,2774,0.1345052270655279,373.11749987977436,0.024656331189086726,0.5649456279596838,0.5573593073593074,-0.028311646046808855,8.50543935702581,20,49.10249090194702,
