edge_strength,seed,norm_window,n_raw_trades_used,n_scaffold_bars,n_bars,raw_signal_corr,n_bar_returns,pct_bars_active,sharpe_trivial_strategy,hit_rate,wall_clock_sec,error
0.5,0,20,299838,996,996,0.15158889953887422,995,0.6683417085427136,-0.05452475107169048,0.45413533834586467,9.098437309265137,
0.5,1,20,299857,996,996,0.2119968876790868,995,0.5949748743718593,0.0006533402771729817,0.5135135135135135,9.320595741271973,
0.5,2,20,299829,996,996,0.11381599830144631,995,0.7437185929648241,-0.007240643658155212,0.4837837837837838,9.515288829803467,
0.5,3,20,299753,996,996,0.16067389751515368,995,0.8020100502512563,-0.048848325410102054,0.4924812030075188,9.596824884414673,
0.5,4,20,299828,996,996,0.1565182860823525,995,0.7447236180904523,0.04077734459023001,0.5290148448043185,9.535694360733032,
0.75,0,20,399813,997,997,0.23463989911853186,996,0.6275100401606426,0.04415712966805907,0.5328,9.833142042160034,
0.75,1,20,399761,997,997,0.3033260543880817,996,0.4206827309236948,0.030440640909753337,0.5011933174224343,9.49083399772644,
0.75,2,20,399830,997,997,0.23916265038560977,996,0.6224899598393574,0.03216050873548467,0.4935483870967742,9.569979906082153,
0.75,3,20,399766,997,997,0.25302722528515215,996,0.4859437751004016,-0.02192863161000191,0.5,9.43212604522705,
0.75,4,20,399855,997,996,0.31772534716679024,995,0.5718592964824121,0.017332165094658288,0.5184534270650264,9.476914167404175,
1.0,0,20,299838,996,996,0.3069223504988911,995,0.2723618090452261,-0.010575520833054705,0.4981549815498155,8.698554992675781,
1.0,1,20,299857,996,996,0.3670284621354436,995,0.2321608040201005,-0.05486054245492629,0.4588744588744589,8.936851024627686,
1.0,2,20,299829,996,996,0.27315878833799573,995,0.41105527638190953,0.03309069550390398,0.530562347188264,8.930415391921997,
1.0,3,20,299753,996,996,0.32526490358539617,995,0.4221105527638191,-0.04275476410178324,0.4976190476190476,8.782470226287842,
1.0,4,20,299828,996,996,0.31263210187755935,995,0.42512562814070354,0.036297546421661844,0.5271867612293144,9.100708961486816,
1.5,0,20,799394,998,998,0.38488558999457884,997,0.13139418254764293,-0.053144564833633084,0.4198473282442748,13.057359457015991,
1.5,1,20,799434,998,998,0.3440133149765519,997,0.3059177532597793,-0.049889765286929316,0.5081967213114754,13.346688747406006,
1.5,2,20,799467,998,998,0.4186452783755557,997,0.23771313941825475,0.03302205981969664,0.5021097046413502,13.348044872283936,
1.5,3,20,799159,998,998,0.3837082730924907,997,0.31895687061183553,-0.011202666241710407,0.48742138364779874,12.938525438308716,
1.5,4,20,799541,998,998,0.39922982065813556,997,0.15045135406218657,-0.016157082905490953,0.4666666666666667,12.93378496170044,
2.0,0,20,499459,997,997,0.4809567148063773,996,0.055220883534136546,0.031018316160803843,0.5272727272727272,10.760975360870361,
2.0,1,20,499952,998,997,0.41559491492309514,996,0.17670682730923695,-0.05152316069840782,0.5454545454545454,10.8391592502594,
2.0,2,20,499525,997,997,0.45239880122852205,996,0.19477911646586346,-0.01962968216220945,0.4175257731958763,10.569304466247559,
2.0,3,20,499466,997,997,0.44838542716911367,996,0.17971887550200802,-0.040057414940779995,0.49162011173184356,10.774522542953491,
2.0,4,20,499447,997,996,0.46998137681885355,995,0.23618090452261306,-0.020707889227002178,0.44680851063829785,10.510331630706787,
3.0,0,20,1199845,999,998,0.48589447670196195,997,0.2046138415245737,-0.03311390877909822,0.46568627450980393,15.79427719116211,
3.0,1,20,1199834,999,998,0.4884475868128499,997,0.119358074222668,-0.03227464661470651,0.5126050420168067,15.889902591705322,
3.0,2,20,1199853,999,1014,0.47624522072944775,1013,0.1549851924975321,0.048929778350648205,0.5732484076433121,16.22066593170166,
3.0,3,20,1199884,999,998,0.4680714208779686,997,0.13139418254764293,-0.050799660206186995,0.44274809160305345,15.984225511550903,
3.0,4,20,,,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
5.0,0,20,1199845,999,998,0.5011529550910756,997,0.1354062186559679,-0.010794691824163882,0.45925925925925926,17.49405026435852,
5.0,1,20,1199834,999,997,0.4998035636339022,996,0.06224899598393574,0.029863243007684663,0.3387096774193548,15.955790519714355,
5.0,2,20,1199853,999,1034,0.49591928300839505,1033,0.041626331074540175,-0.029092083867314607,0.46511627906976744,16.121785879135132,
5.0,3,20,1199884,999,988,0.4868715879560857,987,0.3708206686930091,0.06754321182957519,0.4918032786885246,15.091323375701904,
5.0,4,20,,,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
8.0,0,20,1799381,999,1104,0.49916541267700015,1103,0.038984587488667274,0.029449886499927126,0.5348837209302325,22.318204641342163,
8.0,1,20,1799204,999,1047,0.5017667603796048,1046,0.011472275334608031,-0.011219819250725868,0.5833333333333334,21.921395540237427,
8.0,2,20,,,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
8.0,3,20,1799189,999,998,0.4814631907919792,997,0.041123370110330994,-0.03167910310524223,0.5121951219512195,20.981090545654297,
8.0,4,20,,,,,,,,,,ValueError: Raw trades have zero or negative total dollar volume
