n_groups,k,phi,n_splits,n_obs,min_group_size,min_train_size,phase_a_pass,phase_a_fail_reason,phase_b_attempted,phase_b_error,mean_path_sharpe,std_path_sharpe,min_path_sharpe,max_path_sharpe,n_paths_negative,winning_C,notes
4,1,1,4,317,79,154,True,,True,,0.1220486814549673,0.0,0.1220486814549673,0.1220486814549673,0.0,0.01,
4,2,3,6,317,79,10,False,single-class train fold,False,,,,,,,0.01,
4,3,3,4,317,79,10,False,single-class train fold,False,,,,,,,0.01,
5,1,1,5,317,63,175,True,,True,,0.3473575886316237,0.0,0.3473575886316237,0.3473575886316237,0.0,0.01,
5,2,4,10,317,63,63,True,,True,,0.051948790101384736,0.24002752345395237,-0.29843370721026136,0.2315263238828815,1.0,0.01,
5,3,6,10,317,63,10,False,single-class train fold,False,,,,,,,0.01,
6,1,1,6,317,52,173,True,,True,,0.2960578783175611,0.0,0.2960578783175611,0.2960578783175611,0.0,0.01,
6,2,5,15,317,52,70,True,,True,,0.11173473311684354,0.23440286576839348,-0.13253981352893762,0.46638871802895715,2.0,0.01,
6,3,10,20,317,52,4,False,single-class train fold,False,,,,,,,0.01,
8,1,1,8,317,39,182,True,,True,,0.3475877650698435,0.0,0.3475877650698435,0.3475877650698435,0.0,0.01,
8,2,7,28,317,39,85,True,,True,,0.14648410591032995,0.178837074004546,-0.17898465008369188,0.372849211321008,1.0,0.01,
8,3,21,56,317,39,11,False,min_train_size 11 < 30,False,,,,,,,0.01,
10,1,1,10,317,31,190,True,,True,,0.33248964833172073,0.0,0.33248964833172073,0.33248964833172073,0.0,0.01,
10,2,9,45,317,31,85,True,,True,,0.13569283961806086,0.19227959930211674,-0.1876523811187734,0.3919890619819914,2.0,0.01,
10,3,36,120,317,31,29,False,min_train_size 29 < 30,False,,,,,,,0.01,
