true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,regime
0.0,30,0.48315,0.0508,0.5017984257840974,gaussian
0.0,50,0.4715,0.04975,0.49780116644357114,gaussian
0.0,55,0.47285,0.04915,0.4978127272747293,gaussian
0.0,60,0.472,0.0504,0.4969515666477242,gaussian
0.0,66,0.47175,0.051,0.49656404333620774,gaussian
0.0,70,0.47115,0.05025,0.49664654624739135,gaussian
0.0,80,0.47,0.04935,0.4965482921909149,gaussian
0.0,100,0.4712,0.04895,0.49707795093255525,gaussian
0.0,150,0.47255,0.0476,0.49738660466574103,gaussian
0.0,200,0.47145,0.0497,0.49695333280869874,gaussian
0.0,1000,0.46865,0.049,0.4961339000769958,gaussian
0.05,30,0.4985,0.0825,0.5070693644601622,gaussian
0.05,50,0.4902,0.09065,0.5047006922350638,gaussian
0.05,55,0.49085,0.09215,0.5049880417487635,gaussian
0.05,60,0.49425,0.0975,0.5047485105449796,gaussian
0.05,66,0.4932,0.10315,0.505059576285857,gaussian
0.05,70,0.49355,0.1038,0.5052427102832061,gaussian
0.05,80,0.493,0.10715,0.5055714133125618,gaussian
0.05,100,0.4961,0.11505,0.5073278644621221,gaussian
0.05,150,0.50445,0.1376,0.5105064823209567,gaussian
0.05,200,0.51505,0.15615,0.5134272312027877,gaussian
0.05,1000,0.6193,0.41015,0.5636814136585948,gaussian
0.1,30,0.5123,0.1249,0.5134971391191154,gaussian
0.1,50,0.51165,0.1547,0.5138824279067293,gaussian
0.1,55,0.5131,0.15995,0.5146952801269871,gaussian
0.1,60,0.5226,0.17135,0.5158220506902809,gaussian
0.1,66,0.52365,0.17875,0.5172329160686087,gaussian
0.1,70,0.52225,0.18505,0.5179964093067505,gaussian
0.1,80,0.5282,0.19885,0.519818628888078,gaussian
0.1,100,0.53845,0.2264,0.5248176915918046,gaussian
0.1,150,0.5694,0.288,0.5375573063843798,gaussian
0.1,200,0.5979,0.3557,0.5508180244068595,gaussian
0.1,1000,0.91315,0.87565,0.7753647041264347,gaussian
0.15,30,0.5344,0.18085,0.5221208068561333,gaussian
0.15,50,0.545,0.2419,0.5282405074466411,gaussian
0.15,55,0.54905,0.2556,0.5305885041358882,gaussian
0.15,60,0.56305,0.26795,0.5335413705121937,gaussian
0.15,66,0.5669,0.28665,0.536804452805402,gaussian
0.15,70,0.57025,0.29885,0.5390047831138536,gaussian
0.15,80,0.58275,0.3246,0.5443736647806092,gaussian
0.15,100,0.6042,0.37495,0.5565526597935944,gaussian
0.15,150,0.66825,0.48895,0.5885638041844068,gaussian
0.15,200,0.72965,0.596,0.6240314863952721,gaussian
0.15,1000,0.99665,0.99385,0.9461571849747166,gaussian
0.2,30,0.5602,0.2454,0.534042515468794,gaussian
0.2,50,0.5929,0.34895,0.5500245904244041,gaussian
0.2,55,0.60545,0.3717,0.5551821218770118,gaussian
0.2,60,0.6188,0.39165,0.5607240912778392,gaussian
0.2,66,0.6257,0.41695,0.567030961729151,gaussian
0.2,70,0.63615,0.436,0.5715717043968072,gaussian
0.2,80,0.65685,0.47695,0.5829284565522066,gaussian
0.2,100,0.6991,0.5451,0.6065695217478568,gaussian
0.2,150,0.7927,0.69685,0.6656224770615506,gaussian
0.2,200,0.8605,0.797,0.7237915965871121,gaussian
0.2,1000,0.99995,1.0,0.9936004051648984,gaussian
0.3,30,0.63485,0.41875,0.5712009598017,gaussian
0.3,50,0.72195,0.5891,0.6199111463819102,gaussian
0.3,55,0.74445,0.62265,0.633856043152777,gaussian
0.3,60,0.7643,0.6549,0.6462441081585268,gaussian
0.3,66,0.78735,0.6921,0.6615860517898029,gaussian
0.3,70,0.8009,0.71085,0.6722536737324776,gaussian
0.3,80,0.8337,0.7617,0.6986668564017132,gaussian
0.3,100,0.8852,0.83695,0.7452915298559829,gaussian
0.3,150,0.9584,0.9418,0.8406997513621547,gaussian
0.3,200,0.9878,0.9785,0.9038316596731183,gaussian
0.3,1000,1.0,1.0,0.9999853294437951,gaussian
0.0,30,0.8031,0.0482,0.6453217611748514,fat_tailed
0.0,50,0.7416,0.05075,0.6147949929958533,fat_tailed
0.0,55,0.731,0.05035,0.6088906152857618,fat_tailed
0.0,60,0.714,0.05015,0.6028127221226481,fat_tailed
0.0,66,0.70525,0.04855,0.5964181562511072,fat_tailed
