test_window,winner_C,winner_step,pred_frac_class1,corr_pos_ret,fold_pnl_mean,n_bars,mean_pos,mean_bar_ret,seed
1,0.01,0.01,0.060836501901140684,0.00418104978636969,-2.1025508254080146e-05,986,-0.11537993920972647,0.00018750870613739904,77
2,1.0,0.2,0.8663366336633663,0.04096444549916211,1.2333372313953575e-05,986,0.11854103343465046,1.6134278982939826e-05,77
3,1.0,0.05,0.6,0.0029207240827963427,1.4177035531533276e-06,984,0.030862944162436554,2.779238766410503e-05,77
4,1.0,0.05,0.6676737160120846,-0.03613626074552856,-2.3571466029043638e-05,983,0.052134146341463426,-0.0002507870681841114,77
5,1.0,0.02,0.26229508196721313,0.03741205710935279,5.7723632841002824e-08,983,-0.037581300813008124,0.00013083846656410493,77
6,1.0,0.1,0.691358024691358,-0.026665127813137728,-5.7448147873729384e-06,987,0.04149797570850203,1.3791388278209281e-05,77
7,1.0,0.2,0.18441558441558442,-0.011323303746454632,-1.1993704635480115e-05,989,-0.08060606060606061,7.583506990258872e-05,77
8,0.01,0.01,0.14908256880733944,0.04612419003829598,2.4023713805729528e-05,989,-0.04213131313131313,-0.0002935136350184949,77
1,1.0,0.1,0.0,0.026173753187103427,-2.757158853575455e-05,986,-0.17841945288753802,0.00018750870613739904,555
2,1.0,0.02,0.4207920792079208,0.04133756657790226,3.3550279794536035e-06,986,-0.005511651469098279,1.6134278982939826e-05,555
3,1.0,0.05,0.6571428571428571,-0.004034614022072475,4.17832758823699e-07,984,0.048071065989847714,2.779238766410503e-05,555
4,0.01,0.01,0.459214501510574,-0.022118921633317086,-8.358964652340309e-06,983,0.0016565040650406567,-0.0002507870681841114,555
5,1.0,0.02,0.21311475409836064,0.03474955140629001,-3.4650330918127405e-06,983,-0.06735772357723577,0.00013083846656410493,555
6,0.1,0.01,0.595679012345679,-0.02973530341876113,-8.404667464740479e-06,987,0.03677125506072875,1.3791388278209281e-05,555
7,0.01,0.1,0.2987012987012987,-0.02163792168615038,-9.807024447556961e-06,989,-0.022222222222222223,7.583506990258872e-05,555
8,10.0,0.01,0.908256880733945,0.04236473489183325,-6.476671608779697e-06,989,0.03346464646464646,-0.0002935136350184949,555
1,1.0,0.1,0.0076045627376425855,-0.06114344771286975,-4.562885418433595e-05,986,-0.1893617021276596,0.00018750870613739904,999
2,1.0,0.2,0.6485148514851485,0.045935465393013006,3.502600204429012e-06,986,0.00425531914893617,1.6134278982939826e-05,999
3,10.0,0.2,0.575,0.054280028143434585,1.528463238777359e-05,984,0.020507614213197974,2.779238766410503e-05,999
4,0.01,0.01,0.4622356495468278,-0.010366383999705948,-1.5178572826373044e-06,983,-0.008841463414634149,-0.0002507870681841114,999
5,0.01,0.01,0.4819672131147541,-0.019874266762005124,-9.824448785284743e-07,983,0.014115853658536586,0.00013083846656410493,999
6,1.0,0.2,0.6512345679012346,-0.009897165064126051,-1.5781884463740828e-06,987,0.008299595141700407,1.3791388278209281e-05,999
7,1.0,0.02,0.2831168831168831,-0.036706498584406284,-1.0599057907670346e-05,989,-0.03484848484848485,7.583506990258872e-05,999
8,10.0,0.1,0.40825688073394495,0.024342209173753376,1.404997030184851e-05,989,-0.02414141414141414,-0.0002935136350184949,999
