true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,regime
0.0,123.38,0.47225,0.04985,0.4966720339931875,gaussian
0.0,277.33,0.47215,0.05025,0.498191550123114,gaussian
0.0,402.45,0.47145,0.0457,0.4964616979588637,gaussian
0.0,588.46,0.4698,0.0483,0.4956438724520959,gaussian
0.0,758.19,0.4688,0.0479,0.49603753372748316,gaussian
0.05,123.38,0.50325,0.12615,0.5085184710916867,gaussian
0.05,277.33,0.52595,0.18225,0.5189870510596931,gaussian
0.05,402.45,0.53525,0.22305,0.5231694765388395,gaussian
0.05,588.46,0.56185,0.2835,0.5343164276359682,gaussian
0.05,758.19,0.58275,0.3402,0.5456171103749053,gaussian
0.1,123.38,0.55335,0.2566,0.5304561372005554,gaussian
0.1,277.33,0.63295,0.4324,0.5720766616711995,gaussian
0.1,402.45,0.6958,0.55575,0.606250375890772,gaussian
0.1,588.46,0.7849,0.69595,0.6621629229519584,gaussian
0.1,758.19,0.851,0.7899,0.7129834350389871,gaussian
0.15,123.38,0.64325,0.4374,0.5716817976368483,gaussian
0.15,277.33,0.79915,0.71165,0.6731994176610421,gaussian
0.15,402.45,0.8882,0.8429,0.7494312812136941,gaussian
0.15,588.46,0.9591,0.9417,0.8405776920483726,gaussian
0.15,758.19,0.98465,0.97695,0.8974655554365952,gaussian
0.2,123.38,0.75005,0.6257,0.635429989335467,gaussian
0.2,277.33,0.93035,0.9,0.7966035862149135,gaussian
0.2,402.45,0.9774,0.96815,0.8824345661923985,gaussian
0.2,588.46,0.99785,0.99545,0.9520994499385228,gaussian
0.2,758.19,0.99965,0.99965,0.9790095600311668,gaussian
0.3,123.38,0.9286,0.8971,0.7950469971403757,gaussian
0.3,277.33,0.99775,0.99605,0.9571706311927146,gaussian
0.3,402.45,0.99995,0.9999,0.9888567150006231,gaussian
0.3,588.46,1.0,1.0,0.9986365898663837,gaussian
0.3,758.19,1.0,1.0,0.9997904748948863,gaussian
0.0,123.38,0.4613,0.0489,0.49582705667876137,fat_tailed
0.0,277.33,0.4564,0.0506,0.49271652458173865,fat_tailed
0.0,402.45,0.4583,0.0514,0.4935518126877353,fat_tailed
0.0,588.46,0.4654,0.05055,0.494334139015845,fat_tailed
0.0,758.19,0.46055,0.05035,0.49171606347455526,fat_tailed
0.05,123.38,0.4923,0.12735,0.5084553248083552,fat_tailed
0.05,277.33,0.51055,0.1916,0.5144287050337443,fat_tailed
0.05,402.45,0.5312,0.2342,0.5228674096291487,fat_tailed
0.05,588.46,0.55815,0.2856,0.5339881346215498,fat_tailed
0.05,758.19,0.57965,0.3405,0.5428806878264905,fat_tailed
0.1,123.38,0.54585,0.26325,0.5320141072363965,fat_tailed
0.1,277.33,0.6273,0.44485,0.5706140064291191,fat_tailed
0.1,402.45,0.69455,0.5599,0.6076225690030798,fat_tailed
0.1,588.46,0.78715,0.6939,0.6627545836107612,fat_tailed
0.1,758.19,0.84255,0.78855,0.7095963213594472,fat_tailed
0.15,123.38,0.6342,0.4478,0.5759229049816229,fat_tailed
0.15,277.33,0.8004,0.72495,0.6754155200424098,fat_tailed
0.15,402.45,0.88495,0.8447,0.7494786447111303,fat_tailed
0.15,588.46,0.9569,0.93975,0.8376726462982915,fat_tailed
0.15,758.19,0.9835,0.97715,0.8937271464125425,fat_tailed
0.2,123.38,0.74345,0.63175,0.6401366609839145,fat_tailed
0.2,277.33,0.92985,0.9043,0.7971424390479313,fat_tailed
0.2,402.45,0.97875,0.9686,0.8795897305027167,fat_tailed
0.2,588.46,0.99675,0.9945,0.9480108467613066,fat_tailed
0.2,758.19,0.9998,0.99905,0.976536676705869,fat_tailed
0.3,123.38,0.92865,0.89955,0.7928109078223635,fat_tailed
0.3,277.33,0.9981,0.9957,0.9521882856655247,fat_tailed
0.3,402.45,0.9998,0.9997,0.9859889309987804,fat_tailed
0.3,588.46,1.0,1.0,0.9978428167672304,fat_tailed
0.3,758.19,1.0,1.0,0.9996162342928688,fat_tailed
