true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,regime
0.0,80.38,0.47,0.04935,0.49653558245699114,gaussian
0.0,127.54,0.4699,0.0499,0.49633883486038083,gaussian
0.0,315.7,0.46885,0.04885,0.4957788975667985,gaussian
0.0,439.88,0.46875,0.04845,0.4962715884141606,gaussian
0.0,1118.98,0.4673,0.04905,0.4963944255326124,gaussian
0.05,80.38,0.493,0.10715,0.5055768693520486,gaussian
0.05,127.54,0.49755,0.12735,0.5083058698125827,gaussian
0.05,315.7,0.52425,0.19725,0.5186113281083065,gaussian
0.05,439.88,0.53845,0.2362,0.5260047977596878,gaussian
0.05,1118.98,0.63555,0.4417,0.5725232141714308,gaussian
0.1,80.38,0.5282,0.19885,0.5198519860580108,gaussian
0.1,127.54,0.55145,0.26365,0.5310450587669923,gaussian
0.1,315.7,0.65425,0.4744,0.5814494136034076,gaussian
0.1,439.88,0.71465,0.588,0.6173048944638929,gaussian
0.1,1118.98,0.93385,0.90615,0.8022960048106594,gaussian
0.15,80.38,0.58275,0.3246,0.5444523152259568,gaussian
0.15,127.54,0.6417,0.4466,0.5742923490523671,gaussian
0.15,315.7,0.83165,0.7632,0.6980524443833375,gaussian
0.15,439.88,0.9096,0.87175,0.7703582414103716,gaussian
0.15,1118.98,0.99865,0.99735,0.9613886104219813,gaussian
0.2,80.38,0.65685,0.47695,0.583072950741601,gaussian
0.2,127.54,0.7536,0.64005,0.6402072094807219,gaussian
0.2,315.7,0.9521,0.93025,0.8276369007857038,gaussian
0.2,439.88,0.9866,0.978,0.9019312641494902,gaussian
0.2,1118.98,1.0,1.0,0.9965212505201836,gaussian
0.3,80.38,0.8337,0.7617,0.6989704681110547,gaussian
0.3,127.54,0.93515,0.90395,0.8034144658544233,gaussian
0.3,315.7,0.99935,0.99865,0.9720141720218358,gaussian
0.3,439.88,1.0,0.9999,0.992758414208145,gaussian
0.3,1118.98,1.0,1.0,0.9999960844320452,gaussian
0.0,80.38,0.45625,0.05335,0.49208526053223006,fat_tailed
0.0,127.54,0.45845,0.0511,0.49324378920978534,fat_tailed
0.0,315.7,0.4531,0.0507,0.4911935218134243,fat_tailed
0.0,439.88,0.44735,0.0498,0.4888305225210237,fat_tailed
0.0,1118.98,0.44775,0.055,0.48679928838787817,fat_tailed
0.05,80.38,0.48205,0.1159,0.5025437117692849,fat_tailed
0.05,127.54,0.49045,0.1286,0.5060104918970512,fat_tailed
0.05,315.7,0.51465,0.19795,0.5151017756843432,fat_tailed
0.05,439.88,0.5189,0.2396,0.5193404077212875,fat_tailed
0.05,1118.98,0.62395,0.4497,0.5674321652301457,fat_tailed
0.1,80.38,0.52035,0.2164,0.519642670397761,fat_tailed
0.1,127.54,0.5454,0.27145,0.5304885541818294,fat_tailed
0.1,315.7,0.64435,0.4778,0.5794334301160036,fat_tailed
0.1,439.88,0.7052,0.59215,0.6145906960729178,fat_tailed
0.1,1118.98,0.92895,0.9061,0.7985099280240759,fat_tailed
0.15,80.38,0.5816,0.3516,0.5490087479248165,fat_tailed
0.15,127.54,0.6388,0.4662,0.5774583306020366,fat_tailed
0.15,315.7,0.8272,0.7629,0.6968185940049311,fat_tailed
0.15,439.88,0.901,0.87345,0.7672941477413878,fat_tailed
0.15,1118.98,0.9978,0.99635,0.9578046585011043,fat_tailed
0.2,80.38,0.66515,0.50025,0.5929111625401463,fat_tailed
0.2,127.54,0.75905,0.6534,0.6467130998032455,fat_tailed
0.2,315.7,0.94685,0.9298,0.8235286117494593,fat_tailed
0.2,439.88,0.98495,0.979,0.8966278562982014,fat_tailed
0.2,1118.98,0.99995,0.99995,0.9953219524331933,fat_tailed
0.3,80.38,0.83485,0.77825,0.7115113468585793,fat_tailed
0.3,127.54,0.93225,0.90655,0.8039482142697753,fat_tailed
0.3,315.7,0.99905,0.9979,0.9651520639354676,fat_tailed
0.3,439.88,1.0,0.99985,0.9896029608200224,fat_tailed
0.3,1118.98,1.0,1.0,0.9999837808418616,fat_tailed
