edge_strength,n_trades,n_events,T_effective,tw_mean,wall_clock_sec,error
0.5,120000,319,97.912242314486,0.11782459965642117,19.915656566619873,
0.5,160000,354,91.2597570184599,0.11350716047072126,21.84536075592041,
0.5,220000,398,78.74368465285293,0.11379145181048113,23.483219385147095,
0.5,300000,465,116.05013420514388,0.1461588592004331,26.02219247817993,
0.5,400000,529,121.94663467899551,0.14944440524386704,28.924781322479248,
0.75,120000,355,95.2846287263605,0.10517067188340011,21.156269788742065,
0.75,160000,406,68.3833058087871,0.09617905177044599,28.1728458404541,
0.75,220000,474,40.80255862723577,0.09761377662018127,35.05574679374695,
0.75,300000,510,89.66729519094926,0.12718765275311952,31.542737245559692,
0.75,400000,582,108.82256940081022,0.13174645205909227,30.980832815170288,
1.0,120000,425,67.34230037046702,0.08142962559911368,23.15487313270569,
1.0,160000,452,70.95641381681178,0.08538677956295039,24.22659468650818,
1.0,220000,517,67.45731615602018,0.08946593654644587,30.30722212791443,
1.0,300000,546,111.17611955962694,0.11903224792251278,31.90649938583374,
1.0,400000,624,119.36428902995175,0.1249887843245568,34.927162408828735,
1.5,120000,534,39.071307246333646,0.06251409159413383,30.507691621780396,
1.5,160000,525,50.37072377684865,0.0740745937894833,29.81196141242981,
1.5,220000,601,63.155265089940734,0.07768175287815589,33.25884175300598,
1.5,300000,655,70.78812858474711,0.09565963322263123,34.944042921066284,
1.5,400000,685,72.0287992952364,0.11415023660100855,36.515074491500854,
2.0,120000,592,51.043938912772596,0.05542230066533398,31.946948289871216,
2.0,160000,580,66.78150892633019,0.07119563851421129,31.39262080192566,
2.0,220000,658,48.92169367531821,0.0723693693421867,34.83782935142517,
2.0,300000,697,67.42440005288643,0.08918571435566988,36.78678321838379,
2.0,400000,743,81.88389198122384,0.10802624271929266,37.91962480545044,
