edge_strength,n_trades,n_events,T_effective,tw_mean,wall_clock_sec,error
3.0,500000,875.0,78.67291850814826,0.08459453603026694,45.54516792297363,
3.0,800000,846.0,114.49866212858765,0.12167764306969996,46.115355014801025,
3.0,1200000,846.0,112.12454759392384,0.14157139847717656,50.01809358596802,
3.0,1800000,897.0,114.62392953697031,0.1882166330656327,56.39554810523987,
3.0,2500000,1230.0,138.81205201596634,0.11558039301912268,79.09612774848938,
3.0,4000000,921.0,3.2743279509488454,0.23388056792491754,78.35747480392456,
5.0,500000,,,,,ValueError: Raw trades have zero or negative total dollar volume
5.0,800000,889.0,85.78735994669822,0.11214033979960551,50.297922134399414,
5.0,1200000,877.0,96.93734563944074,0.11595376272660375,51.979344844818115,
5.0,1800000,955.0,130.17449421546718,0.15296650319091326,60.54063653945923,
5.0,2500000,,,,,ValueError: Raw trades have zero or negative total dollar volume
5.0,4000000,939.0,58.257411996193156,0.22493209264939443,77.50807809829712,
8.0,500000,,,,,ValueError: Raw trades have zero or negative total dollar volume
8.0,800000,921.0,86.00241717318941,0.10578403096333261,50.6821711063385,
8.0,1200000,909.0,81.10915470788468,0.09952043522439838,52.432032346725464,
8.0,1800000,1016.0,127.78864961037483,0.13297466140517672,62.53914403915405,
8.0,2500000,,,,,ValueError: Raw trades have zero or negative total dollar volume
8.0,4000000,959.0,57.07157465401747,0.20166634153363064,76.92004156112671,
