continuation_prob,seed,n_bars,n_events,bar_lag1_autocorr
0.51,0,979,252,0.039544059479459936
0.51,1,979,233,-0.07775808286605584
0.51,2,981,237,0.02075701207235928
0.51,3,980,220,0.03833065490486345
0.51,4,980,219,0.029456313509813307
0.55,0,979,304,0.1544720918738568
0.55,1,979,263,0.12856912827533898
0.55,2,979,252,0.16694491421019497
0.55,3,978,233,0.14440622958042912
0.55,4,980,282,0.14320507652291029
0.6,0,979,447,0.3569380829822346
0.6,1,979,353,0.3778295587824254
0.6,2,978,370,0.392250313883793
0.6,3,978,318,0.4060636232231466
0.6,4,979,404,0.43547251094032313
0.65,0,978,598,0.6007032231244693
0.65,1,978,479,0.586646517782737
0.65,2,979,460,0.5818695080898834
0.65,3,979,412,0.6116310850949926
0.65,4,978,564,0.6184771440430482
0.7,0,978,725,0.7482992099348131
0.7,1,977,609,0.7252083753664658
0.7,2,978,562,0.754813547441749
0.7,3,978,511,0.7306770891641872
0.7,4,979,700,0.7216329561109147
0.75,0,978,833,0.8124440906658915
0.75,1,976,734,0.8080826580283178
0.75,2,977,664,0.8025368790803843
0.75,3,978,601,0.8025991568955453
0.75,4,978,808,0.8164372580907999
0.8,0,976,885,0.8685782613112374
0.8,1,976,805,0.8680039220086194
0.8,2,977,759,0.8600720639629784
0.8,3,978,678,0.8567040642805434
0.8,4,977,864,0.8573708099441734
0.85,0,976,891,0.8927238586740859
0.85,1,975,849,0.887260950125346
0.85,2,975,825,0.8926149123635527
0.85,3,978,752,0.88666949360409
0.85,4,976,880,0.8850360628611139
