edge_strength,seed,n_raw_trades_used,n_scaffold_bars,n_bars,raw_signal_corr,n_train,n_test,ols_alpha,ols_beta,r2_train,pct_active_test,sharpe_oos,hit_rate_oos,wall_clock_sec,error
0.5,0,299838,996,996,0.15158889953887422,487,488,-6.058402393609197e-05,3.559979457558891e-06,0.0010607370539573724,1.0,-0.0290331400265483,0.47540983606557374,13.901013374328613,
0.5,1,299857,996,996,0.2119968876790868,487,488,6.662484350900276e-06,1.0122531576785262e-05,0.013804732291729738,1.0,0.08800178993920768,0.5307377049180327,10.616123676300049,
0.5,2,299829,996,996,0.11381599830144631,487,488,0.0004922205887991326,-1.2068552793419049e-05,0.010465130227105934,1.0,-0.00228990500065759,0.5040983606557377,9.30868935585022,
0.5,3,299753,996,996,0.16067389751515368,487,488,-0.0006641880138086428,-6.980711959966506e-06,0.0036266166750131834,1.0,-0.07556629197684017,0.4610655737704918,8.546993732452393,
0.5,4,299828,996,996,0.1565182860823525,487,488,-4.679427110306504e-05,5.137613186055584e-06,0.004512627205656483,1.0,0.1039485456141645,0.5532786885245902,8.7057626247406,
0.75,0,399813,997,997,0.23463989911853186,488,488,-0.0005518013355043541,1.0813525829016574e-05,0.012030829325069048,1.0,0.04650270044598107,0.5122950819672131,10.163651466369629,
0.75,1,399761,997,997,0.3033260543880817,488,488,0.000548484015860288,7.466166746781454e-06,0.002555497246170546,1.0,0.05490549286226165,0.5286885245901639,11.075792074203491,
0.75,2,399830,997,997,0.23916265038560977,488,488,-7.808208098229922e-05,9.927303376746129e-06,0.005614444368388205,1.0,0.023463972793435223,0.4959016393442623,9.396591663360596,
0.75,3,399766,997,997,0.25302722528515215,488,488,0.0001239616110917205,-2.458319311924056e-06,0.0005428699049555563,1.0,0.043545625834629044,0.5266393442622951,9.663133144378662,
0.75,4,399855,997,996,0.31772534716679024,487,488,-0.0013530509684040548,5.0407716027671715e-06,0.0010509544096620749,1.0,0.06642044157356133,0.5368852459016393,10.017600059509277,
1.0,0,299838,996,996,0.3069223504988911,487,488,-4.589908255755378e-05,8.35039837538547e-06,0.0042209311195977595,1.0,0.0039441656424163704,0.5020491803278688,9.697754859924316,
