shuffle_index,mean_pnl_t_stat,mean_pnl_t_p_value,n_pooled_active_bars,wall_clock_sec
1,-1.6824994369858164,0.09252678500887801,5703,792.1448962688446
2,-1.6581160959436487,0.09736331744417237,4528,781.0759878158569
3,-0.8661283566284436,0.38646290417864515,4819,789.5322158336639
4,-0.9665754676760996,0.33379950114248835,5412,776.4328491687775
5,-1.6732559317497253,0.0943349415550705,5392,740.0612988471985
6,-1.5690408756430845,0.11671221646047192,4288,750.4524748325348
7,-0.47189401424695177,0.6370194816539696,6043,733.1575667858124
8,-1.3906418187155127,0.16441747476314172,3711,723.6437337398529
9,-1.2100680267458683,0.2263101433534176,4988,732.3649244308472
10,-2.543371389816543,0.011010032524313873,4789,717.0879383087158
11,-2.2159775376344015,0.026750048940725968,3936,720.1868162155151
12,-1.814626300426756,0.06964676391914915,4580,721.3676221370697
13,-0.287215136375302,0.773959695133414,4920,719.4481523036957
14,-0.4915047885578836,0.6230919441708491,4800,720.8650395870209
15,-2.0702320225277444,0.038475183411232905,5748,719.3718242645264
16,-1.22955462775549,0.2189394561196245,3831,718.1921615600586
17,-2.4169284020214934,0.015688535705268958,4881,721.7464711666107
18,-1.6210751387581697,0.10505590168206402,5799,720.9764401912689
19,-2.578008545284354,0.009965166145536886,5063,719.7555494308472
20,-1.3963989955525467,0.16264922221553668,5652,721.5613269805908
21,-1.866051832992967,0.06208917287004834,5314,720.1799747943878
22,-1.2325333275469321,0.21780050226065506,5730,717.5745556354523
23,-1.6331067038394205,0.1024987918905309,6028,717.6267478466034
24,-2.19653838707749,0.028100155901938484,4896,716.3453462123871
25,-1.368827649695883,0.1711609547483821,2853,720.1231052875519
26,-1.0420799685743347,0.297430473624128,4510,717.5999722480774
27,-0.8636394151344305,0.3878305198351031,4654,720.6911473274231
28,-1.0076699900726294,0.31365926774121244,5261,719.0345087051392
29,-1.866551711647117,0.0620096212104142,6442,729.5726554393768
30,-3.2052643717013396,0.0013602090757980356,3923,719.6998879909515
