true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,stage,regime
0.0,96.36,0.46605,0.04865,0.4953620998365388,base,gaussian
0.0,294.82,0.4697,0.04955,0.49677163546086495,base,gaussian
0.0,486.86,0.47085,0.04955,0.4974855809431788,base,gaussian
0.0,746.62,0.46615,0.0491,0.4950466999694085,base,gaussian
0.0,765.11,0.46695,0.0496,0.49546454154314595,base,gaussian
0.05,96.36,0.4906,0.11475,0.5054551528856428,base,gaussian
0.05,294.82,0.5274,0.18885,0.5185435601521157,base,gaussian
0.05,486.86,0.55375,0.251,0.5301634630327264,base,gaussian
0.05,746.62,0.5782,0.3376,0.5442157641327836,base,gaussian
0.05,765.11,0.5822,0.3423,0.546692350710105,base,gaussian
0.1,96.36,0.5326,0.21875,0.5223451297021554,base,gaussian
0.1,294.82,0.64605,0.4527,0.5767575240182957,base,gaussian
0.1,486.86,0.74195,0.62035,0.6335157082211694,base,gaussian
0.1,746.62,0.8465,0.78505,0.7093400804035471,base,gaussian
0.1,765.11,0.84455,0.79355,0.7143786815095353,base,gaussian
0.15,96.36,0.59805,0.3694,0.5526555869324371,base,gaussian
0.15,294.82,0.8129,0.73545,0.6849736983272532,base,gaussian
0.15,486.86,0.92865,0.89985,0.7956302431148816,base,gaussian
0.15,746.62,0.98445,0.97645,0.8945622779952519,base,gaussian
0.15,765.11,0.98565,0.9772,0.8990453402008199,base,gaussian
0.2,96.36,0.6912,0.5372,0.6010030883970109,base,gaussian
0.2,294.82,0.94045,0.9137,0.8113706078411642,base,gaussian
0.2,486.86,0.9922,0.98595,0.9217144037467475,base,gaussian
0.2,746.62,0.9995,0.9987,0.9780525256866608,base,gaussian
0.2,765.11,0.99975,0.9994,0.9796772794118395,base,gaussian
0.3,96.36,0.87655,0.82835,0.7365906188454916,base,gaussian
0.3,294.82,0.999,0.99765,0.9644868658859311,base,gaussian
0.3,486.86,1.0,0.99995,0.9956605238328612,base,gaussian
0.3,746.62,1.0,1.0,0.9997634706110017,base,gaussian
0.3,765.11,1.0,1.0,0.9998060709388783,base,gaussian
0.0,96.36,0.4587,0.0497,0.49821808190718236,base,fat_tailed
0.0,294.82,0.47365,0.04995,0.4999034926995707,base,fat_tailed
0.0,486.86,0.4815,0.05165,0.5024199316966111,base,fat_tailed
0.0,746.62,0.48925,0.0503,0.5057516826775881,base,fat_tailed
0.0,765.11,0.4896,0.05015,0.5041918027726221,base,fat_tailed
0.05,96.36,0.48775,0.1206,0.5108974900316208,base,fat_tailed
0.05,294.82,0.52955,0.19635,0.5235757935008122,base,fat_tailed
0.05,486.86,0.56695,0.26005,0.5376674977954524,base,fat_tailed
0.05,746.62,0.6058,0.3343,0.5559825370628211,base,fat_tailed
0.05,765.11,0.61375,0.3488,0.5572058688287502,base,fat_tailed
0.1,96.36,0.5362,0.23735,0.5325826489417148,base,fat_tailed
0.1,294.82,0.6563,0.4692,0.5855404911894242,base,fat_tailed
0.1,486.86,0.7569,0.634,0.6440169157332709,base,fat_tailed
0.1,746.62,0.8565,0.78615,0.7177918990139142,base,fat_tailed
0.1,765.11,0.8647,0.79615,0.7247534354863857,base,fat_tailed
0.15,96.36,0.6095,0.3968,0.5695954089940373,base,fat_tailed
0.15,294.82,0.822,0.7503,0.6950674336481482,base,fat_tailed
0.15,486.86,0.93375,0.9016,0.8004528465006162,base,fat_tailed
0.15,746.62,0.98395,0.97265,0.8945295110979594,base,fat_tailed
0.15,765.11,0.98605,0.97675,0.9001220633579611,base,fat_tailed
0.2,96.36,0.69935,0.5682,0.6214562350252055,base,fat_tailed
0.2,294.82,0.94135,0.91825,0.8141552577720386,base,fat_tailed
0.2,486.86,0.9916,0.98535,0.9186180865160133,base,fat_tailed
0.2,746.62,0.9995,0.99895,0.9746687056544022,base,fat_tailed
0.2,765.11,0.99945,0.99895,0.9770292746702386,base,fat_tailed
0.3,96.36,0.8774,0.83585,0.74496748502058,base,fat_tailed
0.3,294.82,0.99845,0.9973,0.9557551630018671,base,fat_tailed
0.3,486.86,1.0,1.0,0.9927626523665051,base,fat_tailed
