true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,regime
0.0,83.81,0.47115,0.04965,0.4959077658623494,gaussian
0.0,188.72,0.47325,0.0491,0.49767287845383673,gaussian
0.0,331.05,0.4699,0.04945,0.4966605620071425,gaussian
0.0,504.82,0.46805,0.04965,0.4962395931077439,gaussian
0.0,625.37,0.46415,0.0509,0.4950708593389032,gaussian
0.05,83.81,0.49265,0.1101,0.5052092549394963,gaussian
0.05,188.72,0.51345,0.1476,0.5127833321485484,gaussian
0.05,331.05,0.53085,0.20375,0.5208165756024983,gaussian
0.05,504.82,0.54875,0.26075,0.5306457714260283,gaussian
0.05,625.37,0.5597,0.2968,0.5358041344670049,gaussian
0.1,83.81,0.529,0.20245,0.5200391629600801,gaussian
0.1,188.72,0.5878,0.3371,0.546790885993887,gaussian
0.1,331.05,0.66155,0.49075,0.5874579392555017,gaussian
0.1,504.82,0.7498,0.6399,0.6394083682378756,gaussian
0.1,625.37,0.79775,0.7224,0.6731285801805752,gaussian
0.15,83.81,0.5851,0.33775,0.5458696410880031,gaussian
0.15,188.72,0.7137,0.57465,0.6148806174086908,gaussian
0.15,331.05,0.84345,0.7748,0.7079441343157515,gaussian
0.15,504.82,0.93685,0.9067,0.8044718709352524,gaussian
0.15,625.37,0.967,0.9533,0.854875886638663,gaussian
0.2,83.81,0.6658,0.4925,0.5871814337026827,gaussian
0.2,188.72,0.84885,0.78,0.7107777240139872,gaussian
0.2,331.05,0.95955,0.93955,0.8391833185810392,gaussian
0.2,504.82,0.993,0.9884,0.9277764253620531,gaussian
0.2,625.37,0.9984,0.99645,0.9600781960845539,gaussian
0.3,83.81,0.8463,0.7793,0.708454006495427,gaussian
0.3,188.72,0.9845,0.9749,0.8928217321825332,gaussian
0.3,331.05,0.99965,0.9984,0.9764497089999833,gaussian
0.3,504.82,1.0,0.99995,0.9964644346444488,gaussian
0.3,625.37,1.0,1.0,0.9990990597830938,gaussian
0.0,83.81,0.457,0.05235,0.49874881241464075,fat_tailed
0.0,188.72,0.467,0.0482,0.4994751400244553,fat_tailed
0.0,331.05,0.47305,0.0499,0.5013655072680812,fat_tailed
0.0,504.82,0.48545,0.05005,0.5033221438816581,fat_tailed
0.0,625.37,0.48945,0.0524,0.5046555431163834,fat_tailed
0.05,83.81,0.4833,0.11685,0.5113363093756389,fat_tailed
0.05,188.72,0.50805,0.15645,0.5167264508557845,fat_tailed
0.05,331.05,0.53725,0.2106,0.527454640176905,fat_tailed
0.05,504.82,0.57185,0.26805,0.5396787468783415,fat_tailed
0.05,625.37,0.5902,0.3061,0.5486319943309365,fat_tailed
0.1,83.81,0.5254,0.22145,0.5312569453163909,fat_tailed
0.1,188.72,0.59255,0.3502,0.5552678741557014,fat_tailed
0.1,331.05,0.673,0.49945,0.5967382414823759,fat_tailed
0.1,504.82,0.7683,0.64845,0.6507404399599144,fat_tailed
0.1,625.37,0.8185,0.72515,0.6863053653184368,fat_tailed
0.15,83.81,0.5857,0.3666,0.5635157226701354,fat_tailed
0.15,188.72,0.7183,0.5911,0.6262704939573619,fat_tailed
0.15,331.05,0.8518,0.78585,0.7169674874638524,fat_tailed
0.15,504.82,0.9377,0.90915,0.8092578277099441,fat_tailed
0.15,625.37,0.9712,0.95075,0.8580885733171033,fat_tailed
0.2,83.81,0.6726,0.5285,0.6092564455234939,fat_tailed
0.2,188.72,0.8533,0.7919,0.7190626103964131,fat_tailed
0.2,331.05,0.95965,0.94185,0.8396161602352639,fat_tailed
0.2,504.82,0.9939,0.9869,0.9247911369844147,fat_tailed
0.2,625.37,0.99775,0.9969,0.9566444540474313,fat_tailed
0.3,83.81,0.8488,0.7969,0.720488439189498,fat_tailed
0.3,188.72,0.98345,0.9722,0.8826843347995096,fat_tailed
0.3,331.05,0.99945,0.9989,0.9686851307208569,fat_tailed
0.3,504.82,1.0,0.9999,0.9938272441566174,fat_tailed
0.3,625.37,1.0,1.0,0.9980669184264338,fat_tailed
