true_sharpe,T,P[DSR>0.5],P[correct_selection],mean_dsr,regime
0.0,132.63,0.47015,0.0501,0.49644577979832905,gaussian
0.0,670.95,0.46895,0.05125,0.4966666047912526,gaussian
0.0,849.15,0.46925,0.04955,0.4964108241784641,gaussian
0.0,1371.23,0.4745,0.04735,0.4976943175417408,gaussian
0.0,1481.35,0.4732,0.04815,0.497680015543178,gaussian
0.05,132.63,0.4996,0.13115,0.5089586740060783,gaussian
0.05,670.95,0.5767,0.3143,0.5414499085038135,gaussian
0.05,849.15,0.60175,0.36855,0.5532767104311661,gaussian
0.05,1371.23,0.67485,0.5035,0.5918737294996116,gaussian
0.05,1481.35,0.6848,0.5278,0.5990563590727875,gaussian
0.1,132.63,0.555,0.26765,0.5328393057218608,gaussian
0.1,670.95,0.82005,0.74275,0.6887150428128874,gaussian
0.1,849.15,0.8773,0.8274,0.7379922322477183,gaussian
0.1,1371.23,0.96295,0.948,0.8497893290175467,gaussian
0.1,1481.35,0.97405,0.9622,0.8681201716747029,gaussian
0.15,132.63,0.64625,0.45565,0.5776036045846052,gaussian
0.15,670.95,0.9725,0.96155,0.870964519224236,gaussian
0.15,849.15,0.9903,0.98585,0.919005008132619,gaussian
0.15,1371.23,0.99985,0.99925,0.9807401600891008,gaussian
0.15,1481.35,0.9999,0.99945,0.9858586754871953,gaussian
0.2,132.63,0.76235,0.6539,0.6463222175426181,gaussian
0.2,670.95,0.99885,0.99805,0.9675864367121719,gaussian
0.2,849.15,0.9999,0.9997,0.9863945834592585,gaussian
0.2,1371.23,1.0,1.0,0.9989990053909713,gaussian
0.2,1481.35,1.0,1.0,0.9994124138917699,gaussian
0.3,132.63,0.94055,0.91405,0.8122196783434819,gaussian
0.3,670.95,1.0,1.0,0.9994394835886171,gaussian
0.3,849.15,1.0,1.0,0.9999201416387903,gaussian
0.3,1371.23,1.0,1.0,0.9999997258310588,gaussian
0.3,1481.35,1.0,1.0,0.9999999033187612,gaussian
0.0,132.63,0.4678,0.0492,0.4999826553047752,fat_tailed
0.0,670.95,0.4906,0.04685,0.5042726820601827,fat_tailed
0.0,849.15,0.48715,0.0488,0.5036899977397273,fat_tailed
0.0,1371.23,0.49735,0.05125,0.5065188574051078,fat_tailed
0.0,1481.35,0.49975,0.0505,0.5075066694298391,fat_tailed
0.05,132.63,0.49975,0.12955,0.5133535529348854,fat_tailed
0.05,670.95,0.59835,0.31985,0.5498058685038785,fat_tailed
0.05,849.15,0.6179,0.36655,0.5607817428611387,fat_tailed
0.05,1371.23,0.70015,0.5072,0.6027805147027562,fat_tailed
0.05,1481.35,0.7106,0.5306,0.6106174581803914,fat_tailed
0.1,132.63,0.56275,0.28045,0.5391448978266622,fat_tailed
0.1,670.95,0.8362,0.74705,0.6980939524631385,fat_tailed
0.1,849.15,0.88375,0.82995,0.743416576524526,fat_tailed
0.1,1371.23,0.9674,0.9499,0.8549309721620418,fat_tailed
0.1,1481.35,0.9751,0.95675,0.8715335192173117,fat_tailed
0.15,132.63,0.6589,0.4753,0.5881587014575671,fat_tailed
0.15,670.95,0.97665,0.96185,0.8739665514187455,fat_tailed
0.15,849.15,0.9927,0.9863,0.9197202168314393,fat_tailed
0.15,1371.23,0.99975,0.99935,0.980358606592922,fat_tailed
0.15,1481.35,0.9998,0.9994,0.9848727117571363,fat_tailed
0.2,132.63,0.77385,0.6663,0.6582618874165321,fat_tailed
0.2,670.95,0.99925,0.9977,0.9659700563633437,fat_tailed
0.2,849.15,0.99995,0.99965,0.9852730068164949,fat_tailed
0.2,1371.23,1.0,1.0,0.9987511960905665,fat_tailed
0.2,1481.35,1.0,1.0,0.9991834813154901,fat_tailed
0.3,132.63,0.94075,0.9153,0.8112793227140229,fat_tailed
0.3,670.95,1.0,1.0,0.9989534497988376,fat_tailed
0.3,849.15,1.0,1.0,0.9998236396376782,fat_tailed
0.3,1371.23,1.0,1.0,0.9999989185292976,fat_tailed
0.3,1481.35,1.0,1.0,0.9999995020579184,fat_tailed
